imdb_id,Movie Budget,Movie Box Office US/CA,Movie Box Office Worldwide,Movie Length,Movie Rating,Movie Director Names,Movie Director Links,Movie Cast Names,Movie Cast Links,Movie Awards
tt10084832,,,,,,Taron Lexton,['https://www.imdb.com/name/nm1900160/'],"Leo Woodall, Sana'a Shaik, Jordi Webber","['https://www.imdb.com/name/nm10695146/', 'https://www.imdb.com/name/nm5655171/', 'https://www.imdb.com/name/nm8800062/']",
tt2317548,,,,31m,,Xavi Puebla,['https://www.imdb.com/name/nm1474815/'],"Ana Fernández, Lluís Soler","['https://www.imdb.com/name/nm0273383/', 'https://www.imdb.com/name/nm0812963/']",
tt18396434,,,,,,"Kyle Cooper, Jason Wan Lim","['https://www.imdb.com/name/nm4594987/', 'https://www.imdb.com/name/nm5103050/']","Shannon Elizabeth, Daniel Cudmore, Jesse Lipscombe","['https://www.imdb.com/name/nm0002436/', 'https://www.imdb.com/name/nm1214436/', 'https://www.imdb.com/name/nm0513737/']",
tt1622005,,,,"Episode aired Feb 3, 1990",,Tim Fywell,['https://www.imdb.com/name/nm0299563/'],"Yvonne Bryceland, Rosemary McHale, Ian Hogg","['https://www.imdb.com/name/nm0117304/', 'https://www.imdb.com/name/nm0570369/', 'https://www.imdb.com/name/nm0389707/']",
tt19784728,,,,1h 40m,6.6,Giulia Giapponesi,['https://www.imdb.com/name/nm4401290/'],"Ilkay Akkaya, Stefano Bellotti, Cesare Bermani","['https://www.imdb.com/name/nm10218257/', 'https://www.imdb.com/name/nm6281511/', 'https://www.imdb.com/name/nm5521598/']",
tt13861556,,,"$1,701",1h 54m,7.0,José Nascimento,['https://www.imdb.com/name/nm0621633/'],"Carolina Virguez, Inês Pires Tavares, Bernardo Mayer","['https://www.imdb.com/name/nm4148220/', 'https://www.imdb.com/name/nm11388981/', 'https://www.imdb.com/name/nm12240664/']",
tt2121837,,,,1910,,H.O. Martinek,['https://www.imdb.com/name/nm0553320/'],"Ivy Martinek, Alice Moseley, Charles Calvert","['https://www.imdb.com/name/nm0553321/', 'https://www.imdb.com/name/nm0608403/', 'https://www.imdb.com/name/nm0130791/']",
tt12615810,,,,2020,,Kevin Murray,['https://www.imdb.com/name/nm9281022/'],"Lacey Caroline, Rachel Petsiavas, Paula Tamayo","['https://www.imdb.com/name/nm9674759/', 'https://www.imdb.com/name/nm8758994/', 'https://www.imdb.com/name/nm9156191/']","Film Short
Kevin Murray"
tt19119980,,,,2022,,Han,['https://www.imdb.com/name/nm10729970/'],Han,['https://www.imdb.com/name/nm10729970/'],
tt15716598,,,,,,"R. Subramanian, Ra. Subramanian","['https://www.imdb.com/name/nm9579905/', 'https://www.imdb.com/name/nm13043078/']","R.K. Suresh, Anu Sithara, Seeman","['https://www.imdb.com/name/nm7850253/', 'https://www.imdb.com/name/nm6788819/', 'https://www.imdb.com/name/nm1913036/']",
tt19242256,,"$6,000","$6,000",1h 26m,7.5,A.B. Zax,['https://www.imdb.com/name/nm13536086/'],"Matthew Tannenbaum, Shawnee Tannenbaum, Sophie Tannenbaum","['https://www.imdb.com/name/nm13536083/', 'https://www.imdb.com/name/nm13536085/', 'https://www.imdb.com/name/nm13536084/']",
tt17676574,,,,10m,,Becky Cheatle,['https://www.imdb.com/name/nm13362817/'],"Martin Angolo, Johnny Candon, Rob Flynn","['https://www.imdb.com/name/nm9790515/', 'https://www.imdb.com/name/nm1633094/', 'https://www.imdb.com/name/nm13717936/']",
tt0226578,,,,52m,,Diane Beaudry,['https://www.imdb.com/name/nm0064449/'],Marguerite McDonald,['https://www.imdb.com/name/nm0567889/'],
tt7797670,,,,1h 31m,,"Fred Quantin, Laurent Tissier","['https://www.imdb.com/name/nm9513450/', 'https://www.imdb.com/name/nm9261940/']",Laurent Tissier,['https://www.imdb.com/name/nm9261940/'],
